pk_sales_order,created_at,currency,currency_rate,country_code,postal_code
1773b6bd4062d3805645553e1bff2849,2024-04-07 03:12:04.000,HUF,0.0026,HU,9437
4640a007be81c905de555addfc9067c9,2024-10-21 17:51:26.000,HUF,0.0025,HU,9422
48848489c69fa5d40e349243c0d1ddcc,2024-09-17 22:45:13.000,CZK,0.0397,CZ,19800
679cafb288112926c81f617a2f1e4f71,2024-09-17 14:21:53.000,HUF,0.0025,HU,9700
4a0c5231df766ac348a9aba2c681104a,2024-08-12 16:47:37.000,CZK,0.0396,CZ,51101
8f9a8eb5e78de202fa4de1fd9514866f,2024-06-03 10:45:37.000,EUR,1.0,SK,94901
29c794724ea18be2267d2a4607ecb91a,2024-08-26 23:02:35.000,CZK,0.0399,CZ,76302
d0cdc975fca6b591db9923c6443b486c,2024-12-17 22:22:29.000,CZK,0.0399,CZ,37701
936c773faee7a8970a0e4e28c8b9baa1,2024-10-01 10:44:21.000,CZK,0.0396,CZ,56301
d8bbebebdd67bc7c8bcdb8c7eb01a61a,2024-07-23 12:39:08.000,EUR,1.0,SK,3608
607ce8a3253e074dfc33276557274c47,2024-11-24 11:18:33.000,CZK,0.0395,CZ,58291
b9ca56c7e6a9e0bf90bd05bdc49c1605,2024-09-13 19:36:55.000,EUR,1.0,SK,9433
fc74e28dd982ee8bccb948ecfee4a0aa,2024-07-10 09:34:49.000,CZK,0.0395,CZ,32300
3c12fc820060e0be36d26ceb7cd63470,2024-02-27 15:54:59.000,CZK,0.0394,CZ,73601
e4df7e58580e02ef22c43e3fd9ed619b,2024-01-24 13:52:08.000,HUF,0.0026,HU,4030
f07684db9dfc652066562fc42f239efe,2024-01-31 18:30:16.000,HUF,0.0026,HU,9700
3fc68f329e38ed12468ec93be935ff1f,2024-08-14 22:54:05.000,EUR,1.0,SK,96611
55b670c95573892280d1092e13affad5,2024-11-18 20:03:24.000,CZK,0.0396,CZ,10300
e0e947f0baa07c303e11e875309cc3ba,2024-11-13 08:12:44.000,CZK,0.0394,CZ,47124
c4feee5198cb3d9e766afaa995cd2294,2024-04-17 12:39:43.000,EUR,1.0,SK,8901
db3fbd026141b88fd0d35f932ff54e36,2024-09-08 08:25:20.000,EUR,1.0,SK,94501
94b93f3552377dbe94c4c7f8b51b2ff0,2024-11-21 21:47:09.000,EUR,1.0,SK,4001
81b7cd13c759f0e834251e80b3a6bfde,2024-12-28 00:19:22.000,HUF,0.0024,HU,6726
612bf15583f3e2302364eeeba01588f2,2024-10-30 21:16:56.000,CZK,0.0395,CZ,37501
c0a1e4a4dca658f5aa856767c604f1af,2024-09-02 12:50:23.000,EUR,1.0,SK,90301
aa723e2bb3f86d4711984b890e6df29b,2024-09-10 11:13:00.000,EUR,1.0,SK,90101
c517e1c6283ac5000659aed13b418a08,2024-01-22 16:08:45.000,EUR,1.0,SK,95501
2ed854049d43dedf572d9e62457b1d21,2024-01-20 09:04:33.000,HUF,0.0026,HU,1051
2b04a33b44281e08e85436ed65f54c90,2024-09-05 09:43:36.000,EUR,1.0,SK,6001
5329b9a41b9f7eac0ef77c14823ff723,2024-09-04 21:56:50.000,CZK,0.0398,CZ,77900
35de74f8e6843e9bff58232ae3a302af,2024-09-11 11:53:40.000,HUF,0.0025,HU,8852
7b0f46c72cc942f3373e73138eab4004,2024-03-12 20:57:12.000,CZK,0.0395,CZ,35605
00660d475f6ce86527868630afec78e3,2024-07-30 12:05:19.000,EUR,1.0,SK,84102
5062259c09d806e6888078bc76f365fe,2024-07-16 17:36:19.000,HUF,0.0026,HU,4400
50cbf90198352e08f97e3de4cfeec255,2024-03-24 22:13:17.000,CZK,0.0392,CZ,54211
e45d4b5b70a1eb60fb16a9d763887c17,2024-01-29 00:17:30.000,HUF,0.0026,HU,6237
85132a9ad6e80dd74fd4c1ceb5b1d2b2,2024-11-19 12:31:57.000,EUR,1.0,SK,92901
e094845637912ef7d132eb35470cba90,2024-07-11 18:30:05.000,CZK,0.0394,CZ,25169
89497ce82876e5c37f0e9f45093f0d99,2024-09-08 16:19:46.000,EUR,1.0,SK,2302
f958293ef5a6f9f5afbdd4373981fe3d,2024-04-30 15:47:14.000,HUF,0.0026,HU,7020
e74994f14ada49860632c41189d45c27,2024-06-17 10:02:53.000,CZK,0.0405,CZ,41201
031251313892a37e6e60d4eaf2aecdaf,2024-07-11 20:55:46.000,CZK,0.0394,CZ,37001
5b0ea7d3ca8012b0378265fe8733d4f9,2024-11-21 08:01:35.000,CZK,0.0396,CZ,68323
798626f6be12324184a0a55da4056104,2024-12-12 09:50:17.000,CZK,0.0399,CZ,39601
316cc37528fd1db8d76a0e21ffa59e32,2024-11-05 10:19:14.000,HUF,0.0024,HU,2112
014be0b4c7e450766a2faa946e5616bf,2024-12-16 09:52:31.000,EUR,1.0,SK,4001
4b0b6055f6a52c38661f003e2306c4c0,2024-02-09 16:23:14.000,CZK,0.0396,CZ,53003
eebb53dc4b24bcc818ae50cd9595fc7c,2024-05-22 09:38:33.000,EUR,1.0,SK,95131
327a229172940ea8bba0d2845a8b48cc,2024-12-02 06:13:08.000,EUR,1.0,SK,93041
ee8aabba5af59d6905ae7e19d52c6ae1,2024-04-18 22:18:40.000,CZK,0.0395,CZ,66902
a7140f952d800104e2ead9a4f6213654,2024-11-09 10:39:59.000,HUF,0.0025,HU,3400
99347d4bf68e1b5f100b290defcd8d93,2024-11-06 14:29:53.000,EUR,1.0,SK,90042
6f942a65ffc789de0fe928dc176c68f8,2024-06-17 20:48:52.000,CZK,0.0405,CZ,59401
9e034bb91fe2c6e10ce56dfc31c9c950,2024-01-07 14:00:17.000,EUR,1.0,SK,90082
2bf379f804512b189a9140a86323d221,2024-10-06 23:48:45.000,EUR,1.0,SK,91701
1224f2b443098b4fc5d6b8b881b576c6,2024-09-18 21:42:42.000,EUR,1.0,SK,
e3bdd1ca9e736d573c00e7fa055e8676,2024-02-14 12:16:23.000,EUR,1.0,SK,91401
2abf5807a170dd978a1409a55dc7f228,2024-11-25 22:49:35.000,HUF,0.0024,HU,2760
a6391e469a68f017fc1490ef7b6ca6cb,2024-07-23 10:54:11.000,EUR,1.0,SK,83104
235441ab8f72e3bda23ab55d24f4015d,2024-02-04 18:23:12.000,HUF,0.0026,HU,4028
78a77175674300e4f775bfd67353b965,2024-09-04 18:40:01.000,CZK,0.0398,CZ,27752
b521565678bd13e63e5bfa3cd1a88cc4,2024-01-22 11:37:24.000,EUR,1.0,SK,2601
87347a2426273c3169ad6eb4a1f83923,2024-09-09 20:03:50.000,CZK,0.0399,CZ,71700
2e6d7153c30f9fa09d3d68e71bc94ccf,2024-07-13 11:07:28.000,EUR,1.0,SK,96641
a9a0c5f00d4a9be7dbf2cdb83d89963c,2024-10-24 17:33:22.000,CZK,0.0396,CZ,57201
cacc527403dec228f9f4bfa6f9fa3f21,2024-11-28 09:54:57.000,EUR,1.0,SK,93003
e0959f523b2edd25ee9b353db3cc96b4,2024-10-26 20:06:34.000,EUR,1.0,SK,1701
fff035c5fea0e54e15751e9282c61d32,2024-09-09 12:51:33.000,CZK,0.0399,CZ,53304
2feed21c158172264d4a8fee8493af8c,2024-06-22 19:58:43.000,CZK,0.0401,CZ,74728
74960fdcea957df615841c29466c54de,2024-12-10 08:44:36.000,CZK,0.0399,CZ,26901
ddf429226fcfe97cf429a1ca07dcbe30,2024-04-08 11:58:45.000,HUF,0.0026,HU,6723
16cb9f6d24cca24520d37ef4ee64f3e6,2024-03-16 08:12:25.000,CZK,0.0397,CZ,53401
213fd11f72c53b92b0c6afcaa11bdbcf,2024-01-17 16:52:00.000,CZK,0.0404,CZ,74401
cf3efdc9e823f1cb5277534de4e586df,2024-09-04 23:02:31.000,CZK,0.0398,CZ,75366
feb04795ded85307b22b9fa2ea405cc0,2024-09-08 08:38:52.000,CZK,0.0399,CZ,75501
402d1bb0c689396db499af519335694e,2024-03-15 22:28:24.000,CZK,0.0397,CZ,70030
23ba765f3c087dffc7189e9b39f0a2fa,2024-02-07 05:14:04.000,HUF,0.0026,HU,6723
1861f400674594f859156333bf6ab5be,2024-05-15 22:23:25.000,CZK,0.0403,CZ,40011
0359c3ac3826900fe03ecf2ada368453,2024-07-20 10:24:57.000,EUR,1.0,SK,2955
8ec2ad3d9451bc22774b5399a78b577b,2024-01-03 08:51:02.000,HUF,0.0026,HU,6724
cc74543c74303b8b97a733f6fd5475ef,2024-04-11 10:25:44.000,HUF,0.0026,HU,9700
aa9a1439b60ad07fe951f1421063ab3d,2024-09-13 19:45:04.000,HUF,0.0025,HU,1132
b2e8445def905f6eda5d45ce1a339d9f,2024-09-04 11:00:38.000,CZK,0.0398,CZ,32300
2502846e6d915db5680a4bc6fc394e6a,2024-05-03 22:10:59.000,EUR,1.0,SK,90872
7977ceb8413a5a90cc29711d98bc1f4d,2024-11-25 11:14:01.000,CZK,0.0395,CZ,74601
59df6544af7b9292b2131b537b2ca1e7,2024-01-03 13:22:16.000,EUR,1.0,SK,2601
0d5dc84d05a5b4566b8687c4a3ecf435,2024-06-09 10:57:43.000,EUR,1.0,SK,92101
d433624406a554e5e1930aa84910384b,2024-11-29 16:48:10.000,HUF,0.0024,HU,2870
220586497320eb3171783dd967f92e32,2024-09-11 17:32:22.000,CZK,0.0399,CZ,28924
11e8af46cb92384354ab2dac045684c3,2024-01-08 14:26:47.000,HUF,0.0026,HU,3600
9a95ad806006621579322f2b66f574ea,2024-03-20 19:52:02.000,CZK,0.0395,CZ,53705
aeb85dc9f00527251d1d8349dc8dbfa4,2024-06-27 14:34:39.000,CZK,0.0401,CZ,76901
22f89e46c8f328f196c7db74d6f1b5a1,2024-08-12 21:01:19.000,EUR,1.0,SK,97404
5527872926aa51d086f9d6733a33ba61,2024-12-27 01:27:50.000,CZK,0.0398,CZ,50315
d445a0d7665b481aecdaaeb3a65423d1,2024-11-17 23:50:46.000,HUF,0.0024,HU,1162
b7de4d1e8e949418c3f751236314bae5,2024-09-21 08:25:42.000,HUF,0.0025,HU,7435
5850c069ef8b5cab80c70078a3a1bbbe,2024-09-11 13:12:29.000,EUR,1.0,SK,94911
ad017c56b2df8b6846583b2733bc6785,2024-09-10 16:16:50.000,EUR,1.0,SK,6782
ab1d2d3b7c2996bef581046c7251e20c,2024-01-09 17:58:29.000,CZK,0.0407,CZ,78801
