fk_item,year_month,avg_margin
001c4d8635a4b890759ff99327b81aab,2024-02-01T00:00:00.000000,634.6899999999999
001f4506fd5df37cb3e4aad19f5e8375,2024-02-01T00:00:00.000000,483.89
001f4506fd5df37cb3e4aad19f5e8375,2024-03-01T00:00:00.000000,2622.6466666666665
001f4506fd5df37cb3e4aad19f5e8375,2024-04-01T00:00:00.000000,3321.73855
001f4506fd5df37cb3e4aad19f5e8375,2024-05-01T00:00:00.000000,224.92999999999998
001f4506fd5df37cb3e4aad19f5e8375,2024-06-01T00:00:00.000000,2355.721666666667
001f4506fd5df37cb3e4aad19f5e8375,2024-07-01T00:00:00.000000,447.92539999999997
001f4506fd5df37cb3e4aad19f5e8375,2024-08-01T00:00:00.000000,2.0
001f4506fd5df37cb3e4aad19f5e8375,2024-12-01T00:00:00.000000,2619.7566666666667
002336841ddb6cc7a16e2281b8bd4e10,2024-08-01T00:00:00.000000,11.11
00246c0919a1801289ac0741252cf29b,2024-12-01T00:00:00.000000,227.15
002c08ac3f98833d059ae535ac340b7e,2024-01-01T00:00:00.000000,16.05
002c08ac3f98833d059ae535ac340b7e,2024-02-01T00:00:00.000000,16.05
002c08ac3f98833d059ae535ac340b7e,2024-03-01T00:00:00.000000,610.1
002c08ac3f98833d059ae535ac340b7e,2024-09-01T00:00:00.000000,610.04
003ee245c4afae7cb76095a27383449a,2024-07-01T00:00:00.000000,416.31
006e12281d6aa342fca882f3a2b8f914,2024-01-01T00:00:00.000000,674.3204347826088
006e12281d6aa342fca882f3a2b8f914,2024-02-01T00:00:00.000000,545.7360606060603
006e12281d6aa342fca882f3a2b8f914,2024-03-01T00:00:00.000000,466.6512213333331
006e12281d6aa342fca882f3a2b8f914,2024-04-01T00:00:00.000000,1781.3628571428574
006e12281d6aa342fca882f3a2b8f914,2024-05-01T00:00:00.000000,1877.2876923076915
006e12281d6aa342fca882f3a2b8f914,2024-06-01T00:00:00.000000,453.5084615384616
006e12281d6aa342fca882f3a2b8f914,2024-07-01T00:00:00.000000,928.5080350000002
006e12281d6aa342fca882f3a2b8f914,2024-08-01T00:00:00.000000,195.28749642857153
